census_tract,census_block_group,census_block,total_population,american_indian_alaska_native,asian,black_african_american,hispanic_latino,native_hawaiian_pacific_islander,white,other_race,two_or_more_races
44001030100,440010301001,440010301001000,19,0,0,0,0,0,13,2,4
44001030100,440010301001,440010301001001,12,0,2,0,1,0,8,0,1
44001030100,440010301001,440010301001002,25,0,1,0,2,0,17,0,5
44001030100,440010301001,440010301001003,36,0,0,0,1,0,32,0,3
44001030100,440010301001,440010301001004,25,0,6,3,0,0,12,0,4
44001030100,440010301001,440010301001005,58,0,8,0,3,0,45,0,2
44001030100,440010301001,440010301001006,24,0,2,0,1,0,21,0,0
44001030100,440010301001,440010301001007,33,0,0,0,4,0,29,0,0
44001030100,440010301001,440010301001008,23,0,4,3,1,0,14,0,1
44001030100,440010301001,440010301001009,103,0,14,0,0,0,89,0,0
44001030100,440010301001,440010301001010,23,0,0,0,0,0,20,0,3
44001030100,440010301001,440010301001011,25,0,3,0,5,0,17,0,0
44001030100,440010301001,440010301001012,44,0,0,0,0,0,41,0,3
44001030100,440010301001,440010301001013,16,0,1,0,3,0,7,0,5
44001030100,440010301001,440010301001014,26,0,1,2,1,0,22,0,0
44001030100,440010301001,440010301001015,46,0,0,0,1,0,36,0,9
44001030100,440010301001,440010301001016,46,0,4,2,6,0,28,1,5
44001030100,440010301001,440010301001017,23,0,0,0,1,0,21,0,1
44001030100,440010301001,440010301001018,14,0,3,0,0,0,9,0,2
44001030100,440010301001,440010301001019,22,0,1,3,0,0,18,0,0
44001030100,440010301001,440010301001020,29,0,4,0,3,0,21,0,1
44001030100,440010301001,440010301001021,15,0,0,0,0,0,14,0,1
44001030100,440010301001,440010301001022,39,0,0,0,1,0,32,0,6
44001030100,440010301001,440010301001023,0,0,0,0,0,0,0,0,0
44001030100,440010301001,440010301001024,42,0,3,0,1,0,37,0,1
44001030100,440010301001,440010301001025,93,0,5,0,1,0,87,0,0
44001030100,440010301001,440010301001026,23,0,0,4,0,0,18,0,1
44001030100,440010301001,440010301001027,20,0,2,0,1,0,16,1,0
44001030100,440010301001,440010301001028,40,0,0,0,3,0,36,0,1
44001030100,440010301001,440010301001029,42,0,0,0,1,0,39,0,2
44001030100,440010301001,440010301001030,44,0,0,3,0,0,40,0,1
44001030100,440010301001,440010301001031,167,0,1,0,1,0,165,0,0
44001030100,440010301001,440010301001032,29,0,1,1,1,0,24,2,0
44001030100,440010301001,440010301001033,39,0,0,1,1,0,37,0,0
44001030100,440010301001,440010301001034,26,0,0,0,2,0,23,0,1
44001030100,440010301001,440010301001035,33,0,5,1,2,0,25,0,0
44001030100,440010301001,440010301001036,27,0,1,0,0,0,24,0,2
44001030100,440010301001,440010301001037,20,0,5,2,4,0,9,0,0
44001030100,440010301001,440010301001038,12,0,2,1,3,0,6,0,0
44001030100,440010301001,440010301001039,0,0,0,0,0,0,0,0,0
44001030100,440010301001,440010301001040,120,0,0,0,3,0,117,0,0
44001030100,440010301001,440010301001041,52,0,0,1,1,0,47,0,3
44001030100,440010301002,440010301002000,0,0,0,0,0,0,0,0,0
44001030100,440010301002,440010301002001,48,0,5,2,0,0,37,0,4
44001030100,440010301002,440010301002002,51,0,0,0,1,0,50,0,0
44001030100,440010301002,440010301002003,31,0,0,1,0,0,30,0,0
44001030100,440010301002,440010301002004,43,0,2,0,0,0,40,0,1
44001030100,440010301002,440010301002005,47,0,3,0,0,0,43,0,1
44001030100,440010301002,440010301002006,38,0,0,0,1,0,36,0,1
44001030100,440010301002,440010301002007,22,0,3,1,0,0,18,0,0
44001030100,440010301002,440010301002008,18,0,3,0,3,0,11,0,1
44001030100,440010301002,440010301002009,15,0,0,4,0,0,9,0,2
44001030100,440010301002,440010301002010,22,0,0,0,0,0,22,0,0
44001030100,440010301002,440010301002011,21,0,0,0,4,0,17,0,0
44001030100,440010301002,440010301002012,17,0,4,0,1,0,12,0,0
44001030100,440010301002,440010301002013,28,0,0,0,0,0,28,0,0
44001030100,440010301002,440010301002014,66,0,0,0,0,0,66,0,0
44001030100,440010301002,440010301002015,15,0,6,0,0,0,8,0,1
44001030100,440010301002,440010301002016,22,0,0,0,2,0,20,0,0
44001030100,440010301002,440010301002017,35,0,0,0,0,0,34,0,1
44001030100,440010301002,440010301002018,29,0,5,0,0,0,24,0,0
44001030100,440010301002,440010301002019,16,0,0,0,0,0,15,0,1
44001030100,440010301002,440010301002020,24,0,2,0,2,0,18,0,2
44001030100,440010301002,440010301002021,29,0,0,0,1,0,27,0,1
44001030100,440010301002,440010301002022,64,0,0,0,0,0,62,0,2
44001030100,440010301002,440010301002023,36,0,0,0,1,0,34,0,1
44001030100,440010301002,440010301002024,0,0,0,0,0,0,0,0,0
44001030100,440010301002,440010301002025,45,0,0,0,1,0,40,0,4
44001030100,440010301002,440010301002026,85,0,4,0,0,0,77,0,4
44001030100,440010301003,440010301003000,53,0,1,1,0,0,51,0,0
44001030100,440010301003,440010301003001,66,0,2,0,0,0,64,0,0
44001030100,440010301003,440010301003002,32,0,0,0,0,0,32,0,0
44001030100,440010301003,440010301003003,13,0,0,0,1,0,9,0,3
44001030100,440010301003,440010301003004,38,0,0,0,1,0,37,0,0
44001030100,440010301003,440010301003005,0,0,0,0,0,0,0,0,0
44001030100,440010301003,440010301003006,0,0,0,0,0,0,0,0,0
44001030100,440010301003,440010301003007,38,0,2,0,0,0,35,0,1
44001030100,440010301003,440010301003008,75,0,0,0,0,0,72,0,3
44001030100,440010301003,440010301003009,24,0,1,0,0,0,19,0,4
