"census_block_group","total_population","american_indian_alaska_native","asian","black_african_american","hispanic_latino","native_hawaiian_pacific_islander","white","other_race","two_or_more_races","dissimilarity","interaction"
"440010301001",1555,0,79,27,59,0,1316,6,68,0.772036474164134,0.715769073505205
"440010301002",867,0,37,8,17,0,778,0,27,0.879177377892031,0.715948802541544
"440010301003",1287,0,30,10,36,0,1159,2,50,0.84641932700604,0.864999787112393
"440010301004",1092,0,41,21,47,0,926,6,51,0.605625835647434,0.793240339833943
"440010302001",1161,4,78,10,51,0,958,7,53,0.8580375782881,0.713748136227013
"440010302002",1377,0,86,16,65,0,1136,6,68,0.709507042253521,0.82217052660601
"440010302003",1042,0,121,15,42,0,796,0,68,0.712311557788945,0.684124934406199
"440010303001",1426,0,109,15,51,0,1189,6,56,0.672610036445192,0.876497115454152
"440010303002",1787,0,88,12,58,0,1545,1,83,0.803236245954693,0.654826851262208
"440010303003",1562,0,70,6,56,0,1374,6,50,0.791848617176128,0.94259429314396
"440010304001",1154,0,45,1,38,0,1025,4,41,0.951219512195122,0.847457627118644
"440010304002",1636,0,81,6,53,0,1405,4,87,0.80711743772242,0.859956377467898
"440010304003",1207,1,59,3,50,0,1029,6,59,0.885325558794947,0.759784327009937
"440010305001",829,7,15,15,46,0,713,1,32,0.507713884992987,0.849860158177327
"440010305002",1192,3,12,48,56,0,999,12,62,0.430492992992993,0.837304668793719
"440010305003",1453,6,15,28,47,0,1273,11,73,0.554595443833464,0.871010639719481
"440010306011",931,0,5,14,36,0,832,3,41,0.748798076923077,0.855518394648829
"440010306012",1365,0,25,8,32,0,1253,2,45,0.857940941739824,0.873513841727976
"440010306013",1257,1,9,13,18,0,1155,0,61,0.62970362970363,0.87949129874777
"440010306021",1191,3,16,9,29,0,1074,12,48,0.880819366852886,0.840487020019184
"440010306022",1000,4,7,19,35,0,909,1,25,0.684268426842684,0.809103711833193
"440010306023",1306,1,13,11,45,0,1190,3,43,0.792436974789916,0.883349385869227
"440010306024",623,0,7,11,17,0,570,0,18,0.64066985645933,0.706870047210296
"440010307001",927,2,12,16,50,1,817,1,28,0.450198898408813,0.84278656155634
"440010307002",999,1,2,29,69,0,857,3,38,0.405423892487828,0.842758012144954
"440010307003",811,2,15,8,32,0,712,1,41,0.633426966292135,0.86131965298632
"440010307004",1115,4,15,17,53,0,985,1,40,0.728993729471484,0.79564215316129
"440010308001",2034,4,18,29,60,0,1872,6,45,0.509744326554671,0.91186973789246
"440010308002",786,1,11,8,35,0,700,1,30,0.744285714285714,0.843553309174137
"440010308003",2770,31,34,208,263,0,2112,0,122,0.21379662004662,0.725125406993401
"440010309011",1897,2,12,3,54,0,1754,12,60,0.885404789053592,0.96046176046176
"440010309012",2680,1,26,18,69,0,2468,16,82,0.905186385737439,0.87908249345031
"440010309013",1508,3,12,12,48,0,1395,2,36,0.577777777777778,0.936269815937866
"440010309021",1385,0,10,7,53,0,1267,4,44,0.846882399368587,0.793732103230903
"440010309022",1812,0,24,9,40,0,1684,11,44,0.938242280285036,0.798531437750453
"440010309023",1299,0,19,1,47,0,1208,3,21,0.992549668874172,0.692307692307692
"440010309024",2470,4,21,41,86,0,2236,9,73,0.679239931934203,0.806410244069074
"440030201011",2593,1,114,65,110,0,2180,11,112,0.534932956951306,0.751476890318458
"440030201012",1555,3,45,22,141,2,1258,9,75,0.759936406995231,0.693577385150516
"440030201013",1219,1,58,22,121,0,963,1,53,0.391626545832153,0.811975147739199
"440030201014",1490,1,56,22,105,0,1238,9,59,0.429284770157145,0.795713165653548
"440030201021",1604,0,52,38,121,0,1331,6,56,0.62572660049824,0.763870157222816
"440030201022",1378,8,61,49,150,0,1005,12,93,0.474525332521068,0.656412112287746
"440030201023",2066,5,50,47,149,0,1689,36,90,0.744932794175075,0.706109401730059
"440030202001",1774,6,54,63,157,1,1392,7,94,0.430589764641489,0.741589165152054
"440030202002",1432,8,25,34,162,0,1143,2,58,0.483531470330915,0.729614176967078
"440030202003",1906,9,38,36,145,2,1542,5,129,0.739515780371812,0.740846326001799
"440030203001",863,4,16,36,86,0,682,5,34,0.485500162919518,0.731535906584044
"440030203002",1594,11,20,57,126,0,1280,20,80,0.471641995614035,0.735844061069192
"440030203003",1281,6,34,39,125,1,980,9,87,0.48749345892203,0.755240836329696
"440030203004",1079,7,14,29,166,0,781,0,82,0.538390215903572,0.689172457218226
"440030203005",1401,18,20,39,111,0,1129,2,82,0.499784242919761,0.780374474008949
"440030204001",714,2,6,11,68,0,585,5,37,0.555244755244755,0.754059268454726
"440030204002",921,3,10,17,72,1,794,0,24,0.505778633871685,0.845403433820566
"440030204003",1628,6,16,46,208,0,1263,5,84,0.482030362490964,0.689133168440053
"440030205001",1502,1,53,38,121,1,1212,8,68,0.665363904811534,0.696076732590016
"440030205002",3012,19,76,97,230,1,2426,17,146,0.5506667459906,0.745952545806189
"440030206011",1613,5,21,40,62,0,1420,10,55,0.679577464788732,0.765538476136062
"440030206012",1586,7,30,20,76,0,1368,10,75,0.811111111111111,0.75755047263792
"440030206013",1578,2,26,11,32,0,1420,9,78,0.602816901408451,0.899570489331862
"440030206014",1654,1,12,9,61,0,1520,4,47,0.686184210526316,0.830858826787736
"440030206021",1819,8,24,15,83,0,1639,4,46,0.790115924344112,0.772701060182907
"440030206022",1693,3,27,13,60,1,1503,10,76,0.726137468652439,0.825413458973742
"440030206031",2445,8,45,11,91,1,2195,5,89,0.904328018223235,0.809308478557869
